feature_id,inventory_origin,source_sequence,source_row_number,source_feature,proposed_browser_module,concrete_user_workflow,dependencies_uncertainties,scope_status,evidence_level,source_url,source_retrieved_date,source_basic,source_silver,source_gold
MARG-011,edition_matrix,11,11,All Inventory Voucher,Inventory vouchers,"Record stock receipts, issues, transfers and adjustments with reason and supporting documents.",Exact voucher catalogue and posting rules need specimen transactions; avoid collapsing distinct movements.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-012,edition_matrix,12,12,Secondary Stock Management,Secondary stock,Maintain and reconcile secondary stock records alongside main stock views.,Meaning of secondary stock is unverified; may differ from channel secondary sales; retain separate requirement.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-013,edition_matrix,13,13,"Default Discount / Maximum/ Minimum Discount Management Party, Item, Company Wise, etc.",Discount controls,"Set default/minimum/maximum discounts by party, item and manufacturer/company; apply and review overrides.","Precedence, stacking, effective dates and override authority need agreement.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-014,edition_matrix,14,14,Alternet /Parameter/Substitute wise Searching system,Catalogue search,"Find products by name, parameters, alternatives and configured substitutes; select a permitted result.",Curated substitute mappings and vertical-specific constraints; medicinal equivalence cannot be assumed.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-015,edition_matrix,15,15,Item wise Goods Account (Item Wise Trading A/c Management),Item trading accounts,"Inspect purchases, sales, margins and balances for an item's trading account.","Define cost valuation, return treatment and links between item accounts and general ledger.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-016,edition_matrix,16,16,Pharmacy H1 & Narcotics Reports's,Pharmacy statutory registers,Capture required medicine/prescriber/patient/sale details and produce H1/narcotics register views.,"Current jurisdiction rules, privacy and retention need specialist review; not a complete clinical system.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-017,edition_matrix,17,17,Item Wise Manufacturing Date,Batch manufacture dates,Record manufacturing dates on relevant item batches and show them in movement history.,Clarify item default versus batch-specific dates and required date precision.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-018,edition_matrix,18,18,Item Wise Expiry Date,Batch expiry dates,Capture expiry dates; filter sale selection and display expiry status.,"Expiry interpretation, permissions and handling of month-only dates require explicit rules.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-019,edition_matrix,19,19,Expiry Stock Reports,Expiry monitoring,"Inspect near-expiry/expired stock by store, batch and supplier; prepare return candidates.",Configurable horizons and provenance; a report does not itself approve disposal or credit.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-020,edition_matrix,20,20,Ask Bags wise Qty. in Sale/Purchase/Both for Krishi Mandi etc.,Mandi bag quantities,Enter bag counts and quantity/weight per bag during sale and purchase; calculate totals.,"Commodity/unit rules, variable bag weights and tare handling need actual mandi examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-021,edition_matrix,21,21,Ask Item wise Expenses for Krishi Mandi etc.,Mandi line expenses,"Allocate item-level loading, commission or other mandi expenses while buying/selling.","Expense ownership, taxable treatment and landed-cost allocation require local business rules.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-022,edition_matrix,22,22,Print Shortage Item Detail in Bill,Shortage on documents,"Print ordered, fulfilled and shortage quantities on invoices or related documents.",Shortage definitions and customer-visible formatting must match partial fulfilment.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-023,edition_matrix,23,23,Advance Rate Management (Rate Add/Less on F6 Key and other key),Interactive rate controls,Increase/decrease item rates from a browser action or shortcut and show recalculated totals.,Preserve F6-style speed through configurable safe keys; permissions and rounding need examples.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-024,edition_matrix,24,24,Separator Batch Maintain e.g. @#*,Batch separators,Capture and search batch identifiers containing meaningful separators without losing identity.,Meaning of source symbols @/#/* is unverified; obtain batch examples and search behavior.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-025,edition_matrix,25,25,Separator Batch Split Auto/Sami/Manual 2nd etc..,Batch splitting,"Split required quantities among batches automatically, with confirmation, or manually.","Verify source auto/semi/manual semantics, selection rules and lot traceability.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-026,edition_matrix,26,26,New Launched Items & Loading,New product discovery,Mark newly launched items; display and add them during order or billing workflows.,"Define newness window, supplier feeds and operator visibility; source behavior is underspecified.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-027,edition_matrix,27,27,Shortage Management,Shortage planning,Record unavailable demand; compare available/committed quantities and prepare replenishment.,Avoid counting duplicate demand; distinguish projected shortages from negative stock.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-028,edition_matrix,28,28,Temporary Credit Limit,Temporary credit approval,Grant a time/amount-limited credit override and apply it to a permitted transaction.,"Approver, expiry, scope and reasons must be visible; rule interaction needs validation.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-029,edition_matrix,29,29,Credit Limit Management,Credit control,Set party credit limits; warn or hold orders/invoices when exposure exceeds policy.,"Define exposure including pending orders, overdue bills, cheques and unposted documents.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-030,edition_matrix,30,30,Accounting Management,General accounting,"Maintain ledgers; post vouchers; inspect cash/bank books, trial balance, P&L and balance sheet.","Opening balances, financial periods, posting policy and corrections need reconciled examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-031,edition_matrix,31,31,Post Dated (P.D.C.) & Advance Cheques Issue and Receive Management,Cheques and advances,"Record received/issued postdated or advance cheques; track deposit, clearance, dishonour and allocations.","Bank reconciliation, cheque custody and posting dates; do not treat an uncleared cheque as cash.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-032,edition_matrix,32,32,Sales Man (M.R.) / Area / Rout wise Reporting,Field-sales reporting,"Filter sales, returns and collections by salesperson, area and route.",Assignment history and incentive attribution need clear rules; not synonymous with GPS tracking.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-033,edition_matrix,33,33,Barcode / Label Printing,Labels and barcodes,Design labels; generate item/batch barcodes; preview and print selected quantities.,"Barcode standard, scan input, printer formats and browser device compatibility need verification.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-034,edition_matrix,34,34,Bank Reconciliation System,Bank reconciliation,Import or select bank statement entries; match to book entries; resolve unmatched items.,"Statement formats, duplicates, partial matches and human review; live access is separate.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-035,edition_matrix,35,35,Outstanding Report,Receivables and payables,View bill-wise outstanding and ageing; inspect allocations and customer/supplier balances.,"Due-date policy, credits, advances, disputes and multicurrency handling require examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-036,edition_matrix,36,36,Interest & Collection Report,Interest and collections,Calculate agreed interest scenarios; inspect collections and outstanding by period/party.,Contractual rate/basis/grace periods and posting authorization; calculations are not legal advice.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-037,edition_matrix,37,37,Category / Salt Master Inventory and Reporting system,Category and salt catalogues,"Maintain category/salt mappings; filter inventory, sales and reports using those dimensions.","Medicine reference rights, variant mapping and catalogue corrections require governance.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-038,edition_matrix,38,38,Auto generate different bill,Automatic invoice separation,Review proposed splits of an order or bill into separate documents and confirm outputs.,Source does not state split criteria; capture actual examples before reproducing behavior.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-039,edition_matrix,39,39,Operator Power & Boundations,Access administration,"Grant browser workspace, report and action permissions to individual operators.",Company/store scope and override approval; desktop computer-binding needs a browser-appropriate equivalent.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-040,edition_matrix,40,40,Operator Log Book Report & Operator Worksheet,Operator work records,"Inspect operator activity, workload and transaction history by period and action.","Define log coverage, privacy, access and retention; activity log is distinct from financial audit.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-041,edition_matrix,41,41,Self-configurable invoice formats,Invoice layout designer,"Choose or edit invoice layouts; preview fields, pagination and print/export results.",Required statutory fields and printer widths; preserve readability and template versions.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-042,edition_matrix,42,42,Inventory & Accounting Approval System,Approval inbox,"Staff prepare stock/account documents; assigned accountant/CA reviews, returns for correction or approves with reasons and history.",Company/GSTIN/branch scope; approval coverage and limits need examples; changes after review must be surfaced for renewed review where affected.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-043,edition_matrix,43,43,Show Pending Kot /Challans,Pending kitchen/dispatch work,"View pending KOTs and challans; open, fulfil, cancel or convert linked documents.",Keep kitchen tickets separate from stock delivery challans; partial completion and stale work rules.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-044,edition_matrix,44,44,Cashier Management,Cashier workspace,Open a shift; record tender and cash movements; close and reconcile expected versus counted cash.,"Refund authority, cash drawer compatibility and discrepancy approval require examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-045,edition_matrix,45,45,GST e-Return,GST returns,Prepare return-period data; review errors; export or submit through authorized filing flow.,"Return types, current rules, signatory consent and remote acknowledgements; local examples cannot constitute filing.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-046,edition_matrix,46,46,Reports Manager (MIS Report),Reports workspace,Search/filter reports; drill to transactions; save layouts; export and print.,Document each report's definitions and permissions; the 1000+ claim is not a verified specification.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-047,edition_matrix,47,47,Budget & Cost Centers Management System,Budgets and cost centres,Assign costs/revenue to centres; maintain period budgets and compare actuals.,"Allocation rules, dimensions and consolidated totals require reconciliation.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-048,edition_matrix,48,48,Target,Targets,Assign sales/collection targets by period/person/group; inspect achievement and variance.,Target dimensions and returns/cancellation treatment need actual examples.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-049,edition_matrix,49,49,"Bank Letter,Packing Slip,Conver Note,Gatepass,Label,Barcode printing (Only Invoice Printing)",Supporting documents,"Generate bank letters, packing slips, cover notes, gatepasses and invoice-associated labels.",Verify meaning of source Conver Note and distinction from label printing; template/legal fields vary.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-050,edition_matrix,50,50,Side Display At the time Of Billing,Billing context panel,"View relevant stock, customer balances and item information alongside the current bill.",Source side-display meaning needs demonstration; customer-facing second-screen behavior is separate.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-051,edition_matrix,51,51,Show Dashboard,Operational dashboard,Open a role-appropriate overview and drill into operational counts and totals.,Matrix distinguishes this from data-analysis dashboard; exact content needs validation.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-052,edition_matrix,52,52,Shortcut Keys (Short Buttons) & Recently view reports,Keyboard navigation,Use configurable browser shortcuts and action buttons; reopen recently visited reports.,"Avoid browser/OS key conflicts; retain focus order, help and a pointer-accessible equivalent.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-053,edition_matrix,53,53,Sales Bundle Pack Formula (Set Of Bundle) Management & Bundle Formula Loadings In Billing and also Suggested Item Billing.,Bundles and suggestions,Define bundles/formulas; load component items and quantities; review suggested additions.,"Stock consumption, substitution, discounts and tax treatment must remain explicit.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-054,edition_matrix,54,54,Allowed F3 & F4 Key in Bill,Bill-edit shortcuts,Expose permission-controlled equivalents of documented F3/F4 actions within bills.,Exact source action mapping varies and is not proven by matrix; obtain screenshots before assigning semantics.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-055,edition_matrix,55,55,Take Sale Return in sale bill thru * Key,Inline sales returns,Add an original-sale-linked return from the bill screen and review the net transaction.,"Preserve separate return provenance, stock condition and tax consequences; map star shortcut safely.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-056,edition_matrix,56,56,Show Last & Old Deals at the time of billing,Sales deal history,"View prior rates, schemes and transactions for selected customer/item while billing.","Date filters, authorizations and historical versus current terms must be clear.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-057,edition_matrix,57,57,Show Last & Old Deals in Purchase,Purchase deal history,"Inspect previous supplier rates, quantities, discounts and costs while purchasing.",Keep original tax/rate snapshots; show comparable unit/cost basis.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-058,edition_matrix,58,58,Group Wise Scheme Management,Group schemes,Define date/quantity-based offers for item or party groups; preview qualification and benefit.,"Scheme stacking, free-item allocation and returns require examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-059,edition_matrix,59,59,Special Rates / Discounts Management,Special prices,"Set specific rates/discounts for customers, items or periods; apply precedence in billing.","Conflict resolution with other schemes, min/max controls and approval rules.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-060,edition_matrix,60,60,Bill Convert on Amount/Days bases,Document conversion rules,Select documents meeting amount/day criteria; preview and confirm permitted conversion.,Source does not define from/to document types; preserve as unresolved until demonstrated.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-061,edition_matrix,61,61,Show Graphs,Charts,Plot report data over time or across dimensions and drill into underlying records.,Consistent totals/filters and accessible tabular equivalent.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-062,edition_matrix,62,62,Vertual Keyboard System,Touch keyboard,Enter quantities/text through an on-screen keypad or device keyboard in browser forms.,"Locale, decimal formats, focus and touch accessibility; avoid intercepting normal input.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-063,edition_matrix,63,63,Vertual / Popup Item Billing,Quick item picker,Choose items using touch tiles or a searchable popup without losing the active bill.,"Stock/variant visibility, keyboard selection and return to prior focus.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-064,edition_matrix,64,65,Chit fund Kitty (Kitty/Committee) & Mortgage (Girvi) Management,Kitty and secured pledges,"Maintain kitty/committee instalments; record pledged articles, valuations, dues and redemption.",Treat chit-fund and mortgage workflows as separate records; licensing/legal/interest rules need specialist definition.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-065,edition_matrix,65,66,Caret Issue & Receive Management,Returnable containers,"Record crate/caret issue, receipt, balances and any deposits against parties.",Confirm source Caret means returnable containers; damaged/lost containers and deposit tax rules need examples.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-066,edition_matrix,66,66,Out Patient Department (OPD/Reki) Management,OPD service desk,Register patient-linked visits; record consultation/service charges and link pharmacy dispensing where relevant.,"Source OPD/Reki semantics require demonstration; privacy, clinical scope and permissions remain unresolved.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-067,edition_matrix,67,67,Cursor To Report,Context-to-report navigation,"Open the relevant ledger, stock or transaction report from the field currently being used.",Define field-to-report mapping and return to preserved editing state.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-068,edition_matrix,68,68,SMS & E-Mail System,SMS and email,"Compose invoice/reminder messages; preview recipients, attachments and delivery results.","Provider authorization, costs, consent and failed-delivery handling; local draft is not a sent message.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-069,edition_matrix,69,69,Cloud Backup,Backup and restore,Create a dated backup; inspect available snapshots; select and verify a restore.,Local backup workflow now; cloud destinations require later provider configuration and access controls.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-070,edition_matrix,70,70,WhatsApp,WhatsApp workspace,Prepare invoice/reminder messages with attachments; review and send using authorized service.,Provider/template/consent requirements and delivery status; no assumption of free unrestricted sending.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-071,edition_matrix,71,71,Business on Google Map,Sales map,"Filter customer/sales locations by route, date and salesperson; open related business records.","Map licensing, geocoding accuracy, location consent and external availability.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-072,edition_matrix,72,72,Margpay Intrigration,Digital payment collection,Create payment requests; track provider result; reconcile receipt to bills.,"MargPay is proprietary; equivalent requires a permitted provider and commercial onboarding, not name reuse.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-073,edition_matrix,73,73,Direct calling/Order Calling,Call and order desk,Find customer contact; initiate a supported call action; capture and follow up the resulting order.,Browser/device calling support and consent; automatic dialing service needs separate authorization.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-074,edition_matrix,74,74,Go digital,Digital services hub,"Discover and open enabled document, commerce and communication workflows from one browser hub.",Go digital is a marketing umbrella; retain coverage link without inventing unique functionality.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-075,edition_matrix,75,75,ICICI banking,ICICI banking workspace,View authorized bank data; prepare transfers; track approvals and reconcile results.,"Bank consent, contracts, credentials and supported actions; local fixtures cannot imply live banking.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-076,edition_matrix,76,76,PDF Bill Import,Purchase PDF capture,Upload supplier PDF; inspect extracted lines; map items; correct and save a purchase draft.,"Extraction provider, duplicate detection, evidence retention and operator review; no accuracy guarantee.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-077,edition_matrix,77,77,Audit Trail,Audit history,"Inspect who changed/approved a document, when and why; compare versions and related postings.","Coverage, retention and tamper resistance require specification; source activation behavior is not proof of immutability.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-078,edition_matrix,78,78,Order CRM,Order CRM,"Record customer demand, follow-ups and order status; assign responsible staff and next action.","Clarify relationships with promise orders, call desk and broader sales CRM to avoid duplicate records.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-079,edition_matrix,79,79,Merge Report,Consolidated reports,"Select companies, GSTINs, branches and periods; view consolidated management reports and drill to original independent records.",User confirmed multi-company/GSTIN/branch scope; preserve company books and GSTIN-specific statutory returns; mapping/eliminations require reviewed rules.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-080,edition_matrix,80,80,Super Pack/Home Edition,Package entitlements,Inspect enabled feature bundles and permitted browser workspaces for a business.,Super Pack/Home Edition is an unresolved commercial label; obtain current feature definition; do not drop scope.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-081,edition_matrix,81,81,Home delivery,Delivery workspace,"Assign orders; pick/dispatch; track delivery attempts, failures and completion in responsive browser screens.",Address accuracy and status evidence; signature/photo proof is not established by current research.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-082,edition_matrix,82,82,Bill Tagging,Bill allocation,"Tag receipts, payments and adjustments to specific invoices and inspect remaining balances.","Confirm Bill Tagging semantics; one-to-many allocations, credits and undo need examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-083,edition_matrix,83,83,Financial Year Backup on Mail,Financial-year archive,Create a year-end archive; preview approved email distribution and restore information.,"Sensitive data access, email attachment limits and provider authorization; sending is not automatic.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-084,edition_matrix,84,84,E-Business,Business portals,"Open retailer, supplier and owner web workspaces for ordering, balances and shared documents.",E-Business bundles multiple roles; each external relationship and permission must be established.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-085,edition_matrix,85,85,Salesman App,Salesperson workspace,"Use responsive browser views to capture orders/collections, inspect stock and customer balances.","Replace native app job with web workflow; mobile connectivity, location consent and printing require validation.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
