source_row_number,feature,basic,basic_details,silver,silver_details,gold,gold_details,source_url,retrieved_date
83,Financial Year Backup on Mail,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
84,E-Business,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
85,Salesman App,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
86,Pharmanxt Free Drug Helpline,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
87,Data Analysis Dashboard,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
88,Stock & Sales e-Mail Scheduler,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
89,Collaborative Commerce,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
90,Connected Banking,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
91,ERP to ERP,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
92,Pass Ki Dukaan,included,,included,,included,,https://margcompusoft.com/marg-features.html,2026-09-24
93,Users,text_only,1 User Full Rights ₹ 3000/- per extra user Maximum 2 users ₹ 3000/- per extra Company Maximum 2 Company,text_only,1 User Full Rights 1 User for View only ₹ 3000/- per extra user ₹ 3000/- per extra Company,text_only,Unlimited Users Unlimited Extra Company,https://margcompusoft.com/marg-features.html,2026-09-24
