evidence_id,source_product,observation,evidence_level,source_url,original_comparison,old_feature_ids,canonical_ids,decision,proposed_workflow,reason_and_limit
BYTE-CAP-011,Byteception studio capability,Bring existing-tool data into an application.,studio_capability_claim; illustrative_connected_apps_image_alt,https://byteception.com/,deepen_existing,MARG-068;MARG-070;MARG-090;MARG-091;ADD-013;ADD-014;ADD-044;ADD-045;GST-06;GST-07,ERP-032;WORK-11,deepen_existing_workflow,"Specify an integration intake workspace showing source, authorised business scope, last acquisition, freshness, mapping errors, duplicates and retry history. Imported records should enter the appropriate review workflow with their provenance. Prioritise actual business needs later; neither a specific messaging platform nor a live GST connection is chosen now.","The existing map already covers integrations and exchange monitoring. Connected-app illustrations do not prove available APIs, permissions, pricing, production reliability or GST portal access."
BYTE-CAP-012,Byteception studio capability,"Assisted importing, data entry and first drafts.",studio_capability_claim; illustrative_invoice_extraction_image_alt,https://byteception.com/,deepen_existing,MARG-076;ADD-013;ADD-015;GST-03;GST-06;GST-07;GST-10;GST-19,WORK-10;TAX-06,deepen_existing_workflow,"Show extracted values beside source evidence with uncertainty and field provenance. Suggest item mappings, match candidates, missing-information requests and first drafts. Require meaningful confirmation before committing consequential changes. Tax determinations and eligibility decisions need explainable rules and review; a generated explanation must cite actual record evidence rather than invent it.","Capture and proposed matches are already explicit. Broad drafting and correction feedback can be specified more clearly. No accuracy, model, GST expertise or autonomy level was demonstrated on the homepage."
BYTE-CAP-013,Byteception studio capability,Multi-step assistance with human handoffs.,studio_capability_claim; illustrative_transaction_workflow_image_alt,https://byteception.com/,deepen_existing,MARG-042;ADD-063;GST-06;GST-07;GST-10;GST-13;GST-24,WORK-10,deepen_existing_workflow,"Define reviewable runs such as capture bill, propose mapping, compare receipt, suggest portal match, assemble exceptions and hand the pack to its accountant. Show completed steps, evidence, pending decisions, failed steps and permitted continuation. Stop for missing facts or changed scope. External communication, financial posting, tax elections, signing and filing need explicit authority and their own controls.","The current map already links preparation to human review. This makes the automation run and handoff inspectable; it does not add autonomous filing, unsupervised legal judgment or a chosen AI provider."
BYTE-CAP-014,Byteception studio capability,Recurring filing and review schedules.,studio_capability_claim; illustrative_schedule_image_alt,https://byteception.com/,deepen_existing,MARG-088;GST-01;GST-08;GST-10;GST-13;GST-18;GST-19;GST-20;GST-24,WORK-02,deepen_existing_workflow,"Generate period-specific preparation and review tasks from effective applicability and approved templates. Each task carries taxpayer/period, owner, reviewer, dependencies, due-date basis and missing evidence. Distinguish internal target dates from verified statutory deadlines and extensions. Resolve duplicates, absences and reopened periods without silently marking work complete.","Obligations, reminders and period checklists already exist. The explicit addition is reusable recurrence with dependable ownership and completion evidence. Scheduled work is not proof of official submission; current legal dates still require verification."
BYTE-CAP-015,Byteception studio capability,Business-specific enquiry-to-delivery processes.,studio_capability_claim; illustrative_meeting_lifecycle_image_alt,https://byteception.com/,deepen_existing,MARG-004;MARG-009;MARG-028;MARG-029;MARG-042;MARG-078;GST-10;GST-13;GST-24,WORK-13,deepen_existing_workflow,"Offer controlled workflow templates with configurable ownership, thresholds, required evidence, review gates, escalation and exception reasons. Preview affected open work before activating a policy version. Preserve mandatory posting and tax controls; a workflow editor must not permit users to remove statutory requirements or rewrite completed approvals.",Existing workflows and approvals are substantial; the proposal makes selected policy variation explicit. A generic low-code platform or arbitrary workflow scripting is not justified by this reference.
BYTE-CAP-016,Byteception studio capability,Custom product engineering studio.,vendor_self_description,https://byteception.com/,not_product_feature,,,excluded_from_functional_scope,Use the capability examples as design references and assess the separately named portfolio products on their own evidence.,"Do not label the homepage a licensed ERP, tax suite or packaged competitor, or combine unrelated client products into one verified application."
BYTE-CAP-017,Byteception studio capability,Cloud architecture consulting.,studio_service_offering,https://byteception.com/,not_product_feature,,,excluded_from_functional_scope,Exclude from the ERP functional feature count. Keep hosting and architecture discussions deferred.,A service offering does not establish a user-facing feature or a required hosting provider. Development remains local per user direction.
BYTE-CAP-018,Byteception studio capability,Deployment process modernisation.,studio_service_offering,https://byteception.com/,not_product_feature,,,excluded_from_functional_scope,Exclude from the product feature list; delivery processes can be discussed when the user requests implementation planning.,"No technology, delivery priority or production deployment choice follows from this service claim."
BYTE-CAP-019,Byteception studio capability,Custom software problem solving.,studio_service_offering,https://byteception.com/,not_product_feature,,,excluded_from_functional_scope,Translate only evidenced user jobs into the ERP map; do not count generic engineering service language as a new business module.,The phrase does not specify a testable application workflow.
BYTE-CAP-020,Byteception studio capability,Modernisation of legacy code.,studio_service_offering,https://byteception.com/,not_product_feature,,,excluded_from_functional_scope,Retain existing migration and import/export features on their own requirements; defer implementation language choices.,"Code modernisation is not evidence of a Marg data migration tool, import-format compatibility or automatic migration correctness."
BYTE-CAP-021,Byteception studio capability,No homepage GST product specification found.,research_limitation,https://byteception.com/,unverified,GST-01;GST-02;GST-03;GST-04;GST-05;GST-06;GST-07;GST-08;GST-09;GST-10;GST-11;GST-12;GST-13;GST-14;GST-15;GST-16;GST-17;GST-18;GST-19;GST-20;GST-21;GST-22;GST-23;GST-24,TAX-01;TAX-02;TAX-03;TAX-04;TAX-05;TAX-06;TAX-07;TAX-08;TAX-09;TAX-10;TAX-11;TAX-12;TAX-13;TAX-14;TAX-15;TAX-16;TAX-17;TAX-18;TAX-19;TAX-20;TAX-21;TAX-22;TAX-23;TAX-24,unsupported_GST_claim_no_scope_change,"Preserve all 24 researched GST groups. Use the homepage to improve task ownership, evidence, document collaboration and review usability; verify any tax or portal requirement from its appropriate official source.","Homepage references to filings, finance, invoices or transaction matching do not establish GSTIN validation, IMS actions, return filing, e-invoicing, e-way bills or statutory coverage. This limitation applies to the homepage; individual portfolio evidence must be assessed separately."
BCP-001,JCSS PM,Proposals support signatures and locked exports.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-24,WORK-06;WORK-07,deepen_existing_workflow,"Record covered companies, GSTINs, periods, services and reviewer rights; accept a versioned engagement scope; changes require a new acceptance.",Optional supporting capability for external-CA relationships; not government filing authorization or proof of legal e-signature support.
BCP-002,JCSS PM,Accepted proposals become assignments.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-24;GST-13,WORK-02;WORK-07,deepen_existing_workflow,"An accepted GST engagement creates only its applicable period work, checklist and responsible preparer/reviewer; detect overlapping engagements.",Our proposed GST adaptation; JCSS native GST calculation or filing is not established.
BCP-003,JCSS PM,"Assignments contain teams, forms and milestones.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-24;GST-19,WORK-02,deepen_existing_workflow,"Offer editable templates for period close, notice response and migration; show missing evidence, dependencies, responsibility and completion criteria.",Templates must be reviewed for taxpayer applicability; a completed task does not imply statutory completion.
BCP-004,JCSS PM,Company profiles reuse statutory identifiers.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,already_covered,GST-01;ADD-061;ADD-062,TAX-01;TAX-15;WORK-07,retain_existing,Use the existing company/GSTIN/branch records consistently in documents and engagements; flag stale verification and retain effective-dated changes.,No need to add corporate-secretarial director/shareholder registers merely because they appear in JCSS.
BCP-005,JCSS PM,"Tasks have owner, due date and status.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-13;GST-19;GST-24,WORK-02,deepen_existing_workflow,"Separate statutory due date, internal target and reminder; record blocking dependencies, reason for delay, reassignment and evidence for closure.",Source establishes basic task controls; dependency rules are our proposal.
BCP-006,JCSS PM,Recurring monthly and quarterly tasks are generated.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-01;GST-13;GST-24,WORK-02,deepen_existing_workflow,Create each obligation once for the active registration and period; preview a rule change; suspend after cancellation; preserve previously generated work.,Do not hardcode dates from screenshots or confuse scheduled task creation with return filing.
BCP-007,JCSS PM,Portfolio tasks support filters and bulk actions.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-24;MARG-040,WORK-11,deepen_existing_workflow,Save GSTIN/period/owner/reason filters; preview selected rows; limit bulk actions by permissions; retain per-record outcomes.,Bulk approval must not silently approve hidden records or bypass case evidence.
BCP-008,JCSS PM,Clients see only their engagements.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-24;ADD-063,TAX-24;WORK-07;WORK-08,deepen_existing_workflow,Business staff see requests and period readiness; assigned CAs see permitted client work; revoke client access and export a handover pack.,"Company isolation, business-scope permissions and GST filing authority remain distinct."
BCP-009,JCSS PM,"Documents, changes and sign-offs have history.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,already_covered,GST-13;GST-19;GST-24;MARG-077,ERP-024;WORK-12,retain_existing,"Preserve preparation snapshot, reviewer decision, changes after approval and the official acknowledgement; require renewed review of affected changes.",Reaffirm existing scope; do not count as a separate new module.
BCP-010,JCSS PM,Internal comments and client notifications are described.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/jcss,extends,GST-10;GST-24;MARG-068,WORK-03;WORK-08,deepen_existing_workflow,Separate internal review notes from business-visible document requests; keep discussions on the affected invoice or period; consolidate reminders.,External message delivery remains a later authorized connector decision.
BCP-011,BOLT,Bulk imports offer validation previews.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,extends,GST-06;GST-18;ADD-014,ERP-032;WORK-11,deepen_existing_workflow,"Preview column mappings, duplicates, missing fields and monetary control totals; import accepted rows; produce a rejected-row correction file.",Mortgage file formats are not ERP requirements; our supported formats need actual customer examples.
BCP-012,BOLT,"Scenarios specify steps, evidence and failures.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,extends,GST-20,TAX-20;WORK-12,deepen_existing_workflow,"For a reviewed tax policy revision, compare representative customer transactions before and after; attach reason and accountant sign-off.","This proposes business validation evidence, not a mortgage UAT subsystem or statutory assurance."
BCP-013,BOLT,Reruns preserve prior result versions.,first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,extends,GST-07;GST-13;GST-20,TAX-07;TAX-13;WORK-12,deepen_existing_workflow,"When a statement import or invoice changes, show differences against the previous reconciliation/review; supersede its result without erasing it.",Record which approvals were affected; recalculation must not silently rewrite filed snapshots.
BCP-014,BOLT,"Notes, files and PDF evidence accompany tests.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,already_covered,GST-19;GST-13,WORK-05,retain_existing,"Build a filtered dossier with source documents, calculations, unresolved cases and reviewer decisions; include scope and generation timestamp.",Exported evidence is not independently certified or accepted by a tax authority merely because it is a PDF.
BCP-015,BOLT,"Dashboards report failures, trends and workload.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,extends,GST-24;GST-13;MARG-040,ERP-021;WORK-12,deepen_existing_workflow,"Show recurring mismatch causes, evidence backlog, reopened review count and reviewer capacity alongside affected amounts.",Operational indicators must not be presented as legal risk scores without a defined and reviewed basis.
BCP-016,BOLT,"Tester, manager, admin and owner roles are described.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/bolt,already_covered,MARG-039;MARG-042;ADD-063,ERP-023;ERP-024,retain_existing,"Keep the existing staff/accountant model; test visibility and actions independently across company, branch, GSTIN and approval responsibilities.",Do not copy mortgage role names into our webapp.
BCP-017,Jupikit,Indexed landing page advertises finance capture and private beta.,search_indexed_first_party_page_direct_fetch_403,https://jupikit.com/,extends,MARG-030;MARG-034;MARG-047;GST-14,ERP-017;ERP-019;WORK-09,deepen_existing_workflow,"Connect spending, open supplier bills, receivables and reconciled bank position; show as-of dates and unresolved differences.",Indexed page was crawled approximately three months before retrieval; live status and production completeness unverified.
BCP-018,Jupikit,"Mockup shows tax, contributor, currency and payment columns.",search_indexed_marketing_mockup_not_functional_test,https://jupikit.com/,extends,GST-06;GST-08;MARG-030;MARG-047,WORK-09;TAX-06;TAX-08,deepen_existing_workflow,"Record invoice owner, company GSTIN, paid-by party, payment proof, department and purpose; review reimbursements and prevent double claims or postings.","Mockup tax labels are not tax advice; overseas purchases require contextual GST review, not automatic out-of-scope classification."
BCP-019,Jupikit,"Mockup shows cash, receivables, expenses and tax estimate.",search_indexed_marketing_mockup_not_functional_test,https://jupikit.com/,extends,GST-14;ADD-037,ERP-021;TAX-14,deepen_existing_workflow,Show reconciled cash separately from forecast cash; distinguish estimated liability from approved liability and payments; drill down to calculation evidence.,Example amounts and a generic due date have no statutory significance.
BCP-020,Jupikit,"Mockup navigation includes vendors, clients and payslips.",search_indexed_marketing_mockup_not_functional_test,https://jupikit.com/,already_covered,MARG-030;ADD-043,ERP-017;ERP-047;WORK-09,retain_existing,Retain existing vendor/customer masters and documented payroll scope; link permitted expense reimbursements without exposing confidential salary details.,Navigation alone proves neither payroll engine breadth nor implemented vendor/client workflows.
BCP-021,Jupikit blog,Email and WhatsApp receipt capture are posed as possibilities.,first_party_blog_design_intent,https://byteception.com/blog/financial-hygiene-is-a-feature,extends,GST-06;MARG-068,TAX-06;WORK-09;WORK-10,deepen_existing_workflow,"Extend the evidence inbox with source, sender and received time; preview extracted fields and potential duplicates before reviewer-approved posting.",Email/WhatsApp integration remains unverified and deferred; local uploaded examples can define the workflow without choosing connectivity.
BCP-022,Jupikit blog,Discusses missed reimbursements and disconnected payments.,first_party_blog_problem_statement,https://byteception.com/blog/your-financial-data-is-fragmented,extends,GST-10;MARG-034,ERP-018;ERP-019;WORK-09,deepen_existing_workflow,"Before drafting a customer reminder, inspect payment allocation and unresolved bank entries; mark suspected receipt cases for review.","Bank evidence does not by itself prove tax eligibility, return filing or invoice classification."
BCP-023,Stadia,"Sports scoring, operator control and live displays.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/stadia,exclude_domain_reuse_generic_pattern,,WORK-04,exclude_sports_domain_reuse_collaboration_pattern,"Use the already planned collaboration pattern to show freshness, pending changes and refresh needs in authorized business screens.","No sports scoreboards, clocks, branding or venue-management product scope is added."
BCP-024,Cyber Attack Monitor,"Threat dashboards, event logs and honeypot management.",first_party_case_study_claim_not_logged_in_test,https://byteception.com/gallery/cyber-attacks,excluded,,,excluded_from_functional_scope,No additional ERP feature proposed from domain-specific cybersecurity tooling.,Protecting our ERP remains necessary; building a SOC/honeypot product is unrelated scope.
