id,domain,capability,concrete_workflow,actors,acceptance_example,source_baseline_ids,byteception_evidence_ids,disposition,dependencies,requirement_status,source_interpretation,planning_constraints
ERP-011,Trade,"Returns, replacements and claims","Link returns to sold/purchased batches and original invoices; process breakage/expiry claims and replacement issue/receipt, including return entry within a sale.",Counter staff; claims reviewer,"A previously sold batch is traceable through return and replacement; commercial, stock and tax dispositions remain independently visible.",MARG-006;MARG-055;ADD-008;ADD-012,,retained,"Original invoice/batch links; commercial versus tax adjustment; fresh versus scrap stock. | Preserve separate return provenance, stock condition and tax consequences; map star shortcut safely. | Distinguish commercial claims from stock returns and GST credit notes. | Manual exceptions require explicit permissions; retain original quantities and tax context.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-012,Trade,Price-difference adjustments,"Calculate sale/purchase price differences against identified invoices, quantities and previous rates; route tax consequences for review.",Sales/purchasing; accountant,"A price adjustment states the old rate, new rate, quantity and affected invoices without rewriting historical invoice values.",MARG-007,,retained,"Rate basis, quantities, free goods and tax treatment need reviewed examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-013,Trade,Pricing and discount controls,"Apply party/item/company rate and discount policies with precedence, effective dates, limits and permissioned fast rate changes.",Pricing manager; billing staff,An override outside the approved limit records authority and reason; recalculation shows the applicable rate and policy version.,MARG-013;MARG-023;MARG-059,,retained,"Precedence, stacking, effective dates and override authority need agreement. | Preserve F6-style speed through configurable safe keys; permissions and rounding need examples. | Conflict resolution with other schemes, min/max controls and approval rules.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-014,Trade,"Bundles, schemes and past deals","Load bundle formulas, suggested products and group schemes; inspect previous sale/purchase deals before choosing permitted terms.",Sales; purchasing,A bundle decomposes into traceable quantities; stacking and free-goods treatment follow a reviewed policy rather than an assumed discount order.,MARG-053;MARG-056;MARG-057;MARG-058,,retained,"Stock consumption, substitution, discounts and tax treatment must remain explicit. | Date filters, authorizations and historical versus current terms must be clear. | Keep original tax/rate snapshots; show comparable unit/cost basis. | Scheme stacking, free-item allocation and returns require examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-015,Trade,Supplier and purchase-cost comparison,"Compare supplier quotes and purchase histories, including landed-cost assumptions, then record the chosen supplier and reason.",Purchasing manager,A comparison shows equivalent quantity/unit and applicable charges so different pack sizes cannot mislead the buyer.,ADD-007,,retained,"Normalize free quantities, taxes, freight and unit conversions.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-016,Finance,Customer credit and temporary limits,"Assess credit exposure during order/billing, request a time-limited override and review outstanding commitments before release.",Credit controller; sales approver,"An expired temporary limit no longer authorizes new credit, while the approved order history remains visible.",MARG-028;MARG-029,,retained,"Approver, expiry, scope and reasons must be visible; rule interaction needs validation. | Define exposure including pending orders, overdue bills, cheques and unposted documents.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-017,Finance,"Books, ledgers and item trading accounts","Maintain customer/supplier account identities and opening balances. Post linked vouchers to ledgers, inspect trial balance/P&L/balance sheet and drill into item trading accounts with valuation evidence.",Accountant; owner,A corrected transaction has traceable account effects and balanced postings; an item margin reconciles to its stated costing basis.,MARG-030;MARG-015,BCP-017;BCP-020,deepened,"Opening balances, financial periods, posting policy and corrections need reconciled examples. | Define cost valuation, return treatment and links between item accounts and general ledger.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-018,Finance,"Receivables, allocations and collections","Inspect outstanding invoices, tag receipts/credits/adjustments, review interest workings and prepare payment-aware collections.",Collections staff; accountant,A suspected unallocated bank receipt is reviewed before a reminder draft; allocated and remaining amounts reconcile without duplicate collection.,MARG-035;MARG-036;MARG-082,BCP-022,deepened,"Due-date policy, credits, advances, disputes and multicurrency handling require examples. | Contractual rate/basis/grace periods and posting authorization; calculations are not legal advice. | Confirm Bill Tagging semantics; one-to-many allocations, credits and undo need examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-019,Finance,"Banking, reconciliation and cheques","Record issued/received advance and postdated cheques, reconcile statement lines and inspect supported connected-bank service outcomes.",Treasury; accountant,"A bank line has a traceable allocation, unresolved state or approved explanation; bank/provider availability stays an explicit dependency.",MARG-031;MARG-034;MARG-075;MARG-090,BCP-017;BCP-022,deepened,"Bank reconciliation, cheque custody and posting dates; do not treat an uncleared cheque as cash. | Statement formats, duplicates, partial matches and human review; live access is separate. | Bank consent, contracts, credentials and supported actions; local fixtures cannot imply live banking. | Bank-specific coverage differs from statement import; contracts, MFA and approval boundaries apply.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-020,Finance,Cashier and payment collection,"Manage counter cash, payment modes and settlement references; close a cashier session and resolve payment discrepancies.",Cashier; supervisor,"A session close reconciles opening cash, collections and payouts; payment-provider success is not inferred from invoice creation.",MARG-044;MARG-072,,retained,"Refund authority, cash drawer compatibility and discrepancy approval require examples. | MargPay is proprietary; equivalent requires a permitted provider and commercial onboarding, not name reuse.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-021,Reporting,Operational and management reporting,"Create MIS views, charts and combined management reports with source drilldown and role/company/period scope.",Owner; manager; accountant,"A combined view discloses companies, currency/period basis and freshness; totals drill into authorized records and statutory balances remain distinct.",MARG-046;MARG-051;MARG-061;MARG-067;MARG-079;MARG-087;ADD-037,BYTE-CAP-009;BCP-015;BCP-019,deepened,Document each report's definitions and permissions; the 1000+ claim is not a verified specification. | Matrix distinguishes this from data-analysis dashboard; exact content needs validation. | Consistent totals/filters and accessible tabular equivalent. | Define field-to-report mapping and return to preserved editing state. | User confirmed multi-company/GSTIN/branch scope; preserve company books and GSTIN-specific statutory returns; mapping/eliminations require reviewed rules. | Define distinction from operational dashboard and calculations; source label alone gives no chart catalogue. | Role-scoped reporting; not assumed identical to every desktop editing function.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-022,Reporting,"Budgets, cost centres and targets","Assign transactions to cost centres, compare approved budgets and sales/collection targets, and explain variances.",Department manager; accountant,"A budget variance shows its period, allocation basis and source transactions rather than mixing unrelated targets.",MARG-047;MARG-048,,retained,"Allocation rules, dimensions and consolidated totals require reconciliation. | Target dimensions and returns/cancellation treatment need actual examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-023,Access,Users and scoped permissions,"Invite and manage users; grant viewing, editing and export rights by company, branch, GSTIN and record responsibility.",Owner; administrator,"A user assigned to one company cannot retrieve another company through search, export, reports or direct record navigation.",MARG-039;MARG-093,BYTE-CAP-001;BCP-016,deepened,Company/store scope and override approval; desktop computer-binding needs a browser-appropriate equivalent. | User confirmed staff preparation plus accountant/CA review; competitor prices/seat limits do not restrict our scope; review independence and overrides need policy.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-024,Controls,"Approval, audit and period controls","Staff prepare; designated reviewers approve exceptional stock/account actions and period work; record operator history, freeze and controlled reopen.",Business staff; accountant/CA; administrator,"Changing an approved calculation invalidates affected approval; reopening a frozen period records reason, authority and subsequent review.",MARG-040;MARG-042;MARG-077;ADD-058;ADD-063,BYTE-CAP-006;BCP-009;BCP-016,retained,"Define log coverage, privacy, access and retention; activity log is distinct from financial audit. | Company/GSTIN/branch scope; approval coverage and limits need examples; changes after review must be surfaced for renewed review where affected. | Coverage, retention and tamper resistance require specification; source activation behavior is not proof of immutability. | Specific Marg semantics require demonstration; approvals and audit must reflect reopened changes. | User-confirmed scope; filing/signing authority remains separate; clarify preparer self-review, reassignment, exceptions and changes after approval.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-025,Documents,"Invoice, label and ancillary printing","Configure invoices and local-language outputs; generate bank letters, packing slips, cover notes, gate passes, labels and barcodes from reviewed records.",Billing staff; document administrator,An output contains the selected document version and template version with readable local-language content and correct barcode identity.,MARG-033;MARG-041;MARG-049;ADD-004,,retained,"Barcode standard, scan input, printer formats and browser device compatibility need verification. | Required statutory fields and printer widths; preserve readability and template versions. | Verify meaning of source Conver Note and distinction from label printing; template/legal fields vary. | Exact languages/fonts and regulatory labels require validation.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-026,Counter,Browser counter and input ergonomics,"Offer touchscreen/multicounter billing, scales, virtual keyboard, item popups, recent reports, side displays and permissioned shortcut equivalents.",Counter staff; supervisor,A counter can complete representative billing with supported browser/device inputs; unresolved F3/F4 semantics are demonstrated before shortcuts are assigned.,MARG-050;MARG-052;MARG-054;MARG-062;MARG-063;ADD-001;ADD-002,,retained,"Source side-display meaning needs demonstration; customer-facing second-screen behavior is separate. | Avoid browser/OS key conflicts; retain focus order, help and a pointer-accessible equivalent. | Exact source action mapping varies and is not proven by matrix; obtain screenshots before assigning semantics. | Locale, decimal formats, focus and touch accessibility; avoid intercepting normal input. | Stock/variant visibility, keyboard selection and return to prior focus. | Scanner/cash drawer/printer compatibility and concurrency behavior need device trials. | Browser device support, calibration and units must be verified; manual fallback is a workflow choice.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-027,Trade,Legacy document separation and conversion,Preview automatic invoice separation and amount/day-based document conversion after exact source criteria and document types are demonstrated.,Billing supervisor; accountant,A reviewed example establishes split/conversion rules and links every resulting document to its source; ambiguous vendor labels remain unresolved.,MARG-038;MARG-060,,retained,Source does not state split criteria; capture actual examples before reproducing behavior. | Source does not define from/to document types; preserve as unresolved until demonstrated.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-028,Communication,Business communication and schedules,Draft SMS/email/messaging and calling follow-ups; schedule authorized stock/sales summaries with recipient and delivery visibility.,Sales; collections; authorized sender,"The sender previews recipient, business scope and message before authorized delivery; failed delivery never marks the business task complete.",MARG-068;MARG-070;MARG-073;MARG-088,,retained,"Provider authorization, costs, consent and failed-delivery handling; local draft is not a sent message. | Provider/template/consent requirements and delivery status; no assumption of free unrestricted sending. | Browser/device calling support and consent; automatic dialing service needs separate authorization. | Email authorization, time zones, permissions and failed sends; local preview remains available without service.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-029,Trade,Order CRM and customer follow-up,"Track enquiries and orders, ownership, customer requests, next actions and fulfilment blockers from first contact through delivery.",Sales coordinator,"A customer follow-up opens the correct order and owner, preserving earlier commitments and their disposition.",MARG-078,,retained,"Clarify relationships with promise orders, call desk and broader sales CRM to avoid duplicate records.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-030,Fulfilment,Home delivery and proof of completion,"Assign dispatch/delivery, confirm quantities, collect permitted proof and record failed/partial delivery and related collection.",Dispatcher; delivery staff,A partially delivered order retains remaining quantities and proof; collection and delivery status are not conflated.,MARG-081;ADD-036,,retained,Address accuracy and status evidence; signature/photo proof is not established by current research. | Responsive web workspace; maps and location permissions; photo/signature proof not established by evidence.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-031,Data continuity,"Backup, migration and financial-year continuity","Create reviewable backups/exports, verify recovery, close the year, carry controlled opening balances and access migrated company records through the browser.",Administrator; accountant,A restored/exported example reproduces balances and unresolved cases; backup destination and hosting remain undecided despite legacy cloud/email labels.,MARG-069;MARG-083;ADD-057;ADD-059,,retained,"Local backup workflow now; cloud destinations require later provider configuration and access controls. | Sensitive data access, email attachment limits and provider authorization; sending is not automatic. | Preserve prior-year evidence and permissions; no silent retroactive recalculation. | Preserve user jobs; do not recreate hosted desktop/native products; source local-cloud sync is constrained.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-032,Data exchange,"Imports, capture and ERP exchange","Capture PDF/photo/tabular data, map masters, review control totals and exchange approved records with traceable errors and outcomes.",Import operator; accountant,Reimporting the same input does not duplicate posted transactions; each accepted or rejected row has a reason and source link.,MARG-076;MARG-091;ADD-013;ADD-014;ADD-015;ADD-044;ADD-045,BYTE-CAP-011;BCP-011,deepened,"Extraction provider, duplicate detection, evidence retention and operator review; no accuracy guarantee. | Partner mapping, permitted interfaces, commercial access and duplicate handling; not open access to Marg network. | Real sample formats and idempotency needed; imported records must retain source provenance. | Supported formats and completeness need sample validation; proprietary integrations require permission. | Vendor advertises capture; extraction accuracy and provider access are unverified. | Public Marg API is paid and partial; feature parity does not grant access or prove full GST/accounting coverage. | Books-specific evidence; connector contracts, credentials and current platform coverage need validation.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-033,Commerce,"Ordering, storefront and commerce exchange",Expose permitted catalogues and ordering/QR discovery in browser flows; accept orders and collaborative trade exchanges under approved access.,Customer; retailer; commerce operator,"An incoming order identifies source, customer, accepted prices and fulfilment state; branded service/data access remains a dependency.",MARG-071;MARG-074;MARG-084;MARG-089;MARG-092;ADD-034;ADD-039,,retained,"Map licensing, geocoding accuracy, location consent and external availability. | Go digital is a marketing umbrella; retain coverage link without inventing unique functionality. | E-Business bundles multiple roles; each external relationship and permission must be established. | Collaborative Commerce is broad; confirm partner identity, sharing consent and supported exchanges. | Confirm Pass Ki Dukaan service scope; maps, marketplace permissions and catalogue publication require setup. | Responsive web workspace; supplier consent and live network access are separate dependencies. | Local preview now; external publication, payment and marketplace services require explicit setup.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-034,Access,Service bundles and entitlement visibility,Show the business which optional service bundles and usage entitlements are enabled and which workflows require external service access.,Owner; administrator,An unavailable entitlement is explained before action; Super Pack/Home Edition semantics remain an explicit research question.,MARG-080;ADD-040,,retained,Super Pack/Home Edition is an unresolved commercial label; obtain current feature definition; do not drop scope. | No funds held or paid jobs opened locally; provider terms and pricing require separate approval.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-035,Distribution,"Sales force, routes and manufacturer reporting","Take route/salesperson orders or field invoices in the browser; track targets, commissions, C&F/DMS activity and authorized secondary-sales reporting.",Salesperson; distributor; manufacturer analyst,A route order links to fulfilment and collections; secondary-sales reports preserve provenance and never imply access to proprietary datasets.,MARG-032;MARG-085;ADD-009;ADD-019;ADD-035;ADD-038;ADD-041;ADD-042,,retained,"Assignment history and incentive attribution need clear rules; not synonymous with GPS tracking. | Replace native app job with web workflow; mobile connectivity, location consent and printing require validation. | Returns, discount exclusions and payout adjustments require examples. | Consignment ownership, reporting formats and principal contracts require examples. | Responsive browser workflow; numbering, connectivity and mobile/Bluetooth printing compatibility need validation. | Responsive browser workspace; geolocation consent and employer policies; no native app requirement. | Partner permissions and data completeness; transactional orchestration is not established. | Data rights, contracts and source quality; no promise of access to ECOD proprietary datasets.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-036,Pharmacy,Medicine registers and drug references,Capture permitted H1/narcotics sale details and produce reviewed registers; open approved drug/salt reference or helpline resources.,Pharmacist; authorized reviewer,A register entry links to sale/prescriber/patient evidence under scoped access; references do not grant prescribing authority.,MARG-016;MARG-086,,retained,"Current jurisdiction rules, privacy and retention need specialist review; not a complete clinical system. | PharmaNXT service/data rights and clinical limitations; do not imply prescribing authority.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-037,Pharmacy,"Prescription, refill and patient dispensing",Link prescriptions and patient records to dispensing; manage promise orders and authorized refill reminders with outstanding quantities.,Pharmacist; counter staff,A partial dispensing preserves remaining quantities and relevant prescription evidence without exposing patient data to unrelated users.,ADD-016;ADD-017;ADD-018;ADD-033,,retained,"Consent, data minimization, access and retention; prescribing/clinical decision support is not assumed. | Patient consent and message-provider authorization; no automatic clinical dosing advice. | Reservation expiry and customer consent; actual availability must be checked before messaging. | Does not imply a complete hospital information system or clinical prescribing capability.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-038,Mandi,Bag quantities and item expenses,"Record bag counts, variable weights/tare and item-level loading/commission/other expenses during mandi buying and selling.",Mandi billing staff; accountant,"A specimen commodity trade reconciles bags, net weight, expense ownership and reviewed landed-cost/tax treatment.",MARG-020;MARG-021,,retained,"Commodity/unit rules, variable bag weights and tare handling need actual mandi examples. | Expense ownership, taxable treatment and landed-cost allocation require local business rules.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
